qid,question,answer_no_context,model
q_0,To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,Bernadette Soubirous,llama-3.1-8b-instant
q_1,What is in front of the Notre Dame Main Building?,The quad,llama-3.1-8b-instant
q_10,Where is the headquarters of the Congregation of the Holy Cross?,"Notre Dame, Indiana",llama-3.1-8b-instant
q_100,In what year did the team lead by Knute Rockne win the Rose Bowl?,1924,llama-3.1-8b-instant
q_101,How many years was Knute Rockne head coach at Notre Dame?,13 years,llama-3.1-8b-instant
q_102,How many national titles were won when Knute Rockne coached at Notre Dame?,13 national titles,llama-3.1-8b-instant
q_103,"Catholic people identified with Notre Dame, what religious group did people feel Yale represented?",Episcopalian,llama-3.1-8b-instant
q_104,Notre Dame students had a showdown in 1924 with which anti-catholic group?,The Ku Klux Klan,llama-3.1-8b-instant
q_105,Which college president of Notre Dame is credited with preventing more confrontations between students and the KKK?,Father John W,llama-3.1-8b-instant
q_106,What type of event did the Klan intend to have at Notre Dame in March of 1924?,Ku Klux Klan rally,llama-3.1-8b-instant
q_107,Where did Notre Dame students and the KKK have their encounter?,South Bend,llama-3.1-8b-instant
q_108,Which person became vice-president of Notre Dame in 1933?,Rev,llama-3.1-8b-instant
q_109,Who was the president of Notre Dame in 1934?,UNKNOWN,llama-3.1-8b-instant
q_11,What is the primary seminary of the Congregation of the Holy Cross?,"Saint Edward's University in Austin, Texas, and also the University of Notre Dame in South Bend, Indiana, are two of the primary seminaries of the Congregation of the Holy Cross",llama-3.1-8b-instant
q_110,Irvin Abell was given what award by Notre Dame?,Irvin Abell was given the LaBar Award by Notre Dame,llama-3.1-8b-instant
q_111,Which year was the Laetare Medal first given out at Notre Dame?,1844,llama-3.1-8b-instant
q_112,For whos glory did Father O'Hara believed that the Notre Dame football team played?,The Virgin Mary,llama-3.1-8b-instant
q_113,Around the time that Rev. Cavanaugh became president of Notre Dame by how much did the undergrad student body of Notre Dame increase?,UNKNOWN,gemma2-9b-it
q_114,Which institute involving animal life did Cavanaugh create at Notre Dame?,The Eck Institute for Global Health,gemma2-9b-it
q_115,What is O'Shaughnessy Hall of Notre Dame formerly known as?,The Administration Building,gemma2-9b-it
q_116,Which president did Notre Dame have in 1947?,UNKNOWN,gemma2-9b-it
q_117,"Outside of an institute studying animals, what other institute did Cavanugh create at Notre Dame?",The Institute for Educational Initiatives,gemma2-9b-it
q_118,What was the lifespan of Theodore Hesburgh?,1917-2015,gemma2-9b-it
q_119,In the time that Hesburgh was president of Notre Dame by what factor did the operating budget increase?,UNKNOWN,gemma2-9b-it
q_12,What is the oldest structure at Notre Dame?,UNKNOWN,gemma2-9b-it
q_120,What was the size of the Notre Dame endowment when Theodore Hesburgh became president?,UNKNOWN,gemma2-9b-it
q_121,During what years was Theodor Hesburgh president of Notre Dame?,1952-1987,gemma2-9b-it
q_122,How many faculty members were at Notre Dame when Hesburgh left the role of president?,UNKNOWN,gemma2-9b-it
q_123,What type of educational institute is Hesburgh given credit for creating at Notre Dame?,Hesburgh Library,gemma2-9b-it
q_124,Which role did Charles Sheedy have at Notre Dame?,Head Coach,gemma2-9b-it
q_125,What title did Thomas Blantz have at Notre Dame?,Head Football Coach,gemma2-9b-it
q_126,In what year did Notre Dame have its earliest undergraduate that was female?,1972,gemma2-9b-it
q_127,With what institute did Notre Dame agree to an exchange program in the 1960s?,UNKNOWN,gemma2-9b-it
q_128,During what years was Edward Malloy president of Notre Dame?,1987-2005,gemma2-9b-it
q_129,"What was the SAT score, on average, at Notre Dame when Edward Malloy became president?",UNKNOWN,gemma2-9b-it
q_13,What individuals live at Fatima House at Notre Dame?,UNKNOWN,gemma2-9b-it
q_130,When Malloy became president of Notre Dame what was the size of the endowment?,UNKNOWN,gemma2-9b-it
q_131,When Malloy reached the end of his time as president how much annuals funding for research did Notre Dame have?,UNKNOWN,gemma2-9b-it
q_132,The amount of professors at Notre Dame increased by what amount under Malloy?,UNKNOWN,gemma2-9b-it
q_133,When did John Jenkins become the president of Notre Dame?,UNKNOWN,gemma2-9b-it
q_134,"In terms of the amount of presidents Notre Dame has had, where is John Jenkins on the list?",3rd,gemma2-9b-it
q_135,Who was the Notre Dame president that preceded John Jenkins?,Rev,gemma2-9b-it
q_136,Which arena was constructed under Jenkins at Notre Dame?,Joyce Center,gemma2-9b-it
q_137,How much money was spent on enhancing Notre Dame Stadium under John Jenkins?,UNKNOWN,gemma2-9b-it
