qid,question
q_0,To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?
q_1,What is in front of the Notre Dame Main Building?
q_2,The Basilica of the Sacred heart at Notre Dame is beside to which structure?
q_3,What is the Grotto at Notre Dame?
q_4,What sits on top of the Main Building at Notre Dame?
q_5,When did the Scholastic Magazine of Notre dame begin publishing?
q_6,How often is Notre Dame's the Juggler published?
q_7,What is the daily student paper at Notre Dame called?
q_8,How many student news papers are found at Notre Dame?
q_9,In what year did the student paper Common Sense begin publication at Notre Dame?
q_10,Where is the headquarters of the Congregation of the Holy Cross?
q_11,What is the primary seminary of the Congregation of the Holy Cross?
q_12,What is the oldest structure at Notre Dame?
q_13,What individuals live at Fatima House at Notre Dame?
q_14,Which prize did Frederick Buechner create?
q_15,How many BS level degrees are offered in the College of Engineering at Notre Dame?
q_16,In what year was the College of Engineering at Notre Dame formed?
q_17,Before the creation of the College of Engineering similar studies were carried out at which Notre Dame college?
q_18,How many departments are within the Stinson-Remick Hall of Engineering?
q_19,The College of Science began to offer civil engineering courses beginning at what time at Notre Dame?
q_20,What entity provides help with the management of time for new students at Notre Dame?
q_21,How many colleges for undergraduates are at Notre Dame?
q_22,What was created at Notre Dame in 1962 to assist first year students?
q_23,"Which organization declared the First Year of Studies program at Notre Dame ""outstanding?"""
q_24,The granting of Doctorate degrees first occurred in what year at Notre Dame?
q_25,What type of degree is an M.Div.?
q_26,Which program at Notre Dame offers a Master of Education degree?
q_27,In what year was a Master of Arts course first offered at Notre Dame?
q_28,Which department at Notre Dame is the only one to not offer a PhD program?
q_29,What institute at Notre Dame studies the reasons for violent conflict?
q_30,What is the title of Notre Dame's Theodore Hesburgh?
q_31,In what year was the Joan B. Kroc Institute for International Peace Studies founded?
q_32,To whom was John B. Kroc married?
q_33,What company did Ray Kroc own?
q_34,How many stories tall is the main library at Notre Dame?
q_35,What is the name of the main library at Notre Dame?
q_36,In what year was the Theodore M. Hesburgh Library at Notre Dame finished?
q_37,Which artist created the mural on the Theodore M. Hesburgh Library?
q_38,What is a common name to reference the mural created by Millard Sheets at Notre Dame?
q_39,How many incoming students did Notre Dame admit in fall 2015?
q_40,What percentage of students were admitted to Notre Dame in fall 2015?
q_41,Where does Notre Dame rank in terms of academic profile among research universities in the US?
q_42,What percentage of students at Notre Dame participated in the Early Action program?
q_43,How many miles does the average student at Notre Dame travel to study there?
q_44,Where did U.S. News & World Report rank Notre Dame in its 2015-2016 university rankings?
q_45,Forbes.com placed Notre Dame at what position compared to other US research universities?
q_46,The undergrad school at the Mendoza College of Business was ranked where according to BusinessWeek?
q_47,In 2014 what entity named Notre Dame 10th best of all American universities?
q_48,What percentage of Notre Dame students decide to study abroad?
q_49,What person was the Director of the Science Museum at Notre Dame in the late 19th century?
q_50,What was the lifespan of John Augustine Zahm?
q_51,What program did John Augustine Zahm come to co-direct at Nore Dame?
q_52,What book did John Zahm write in 1896?
q_53,What professorship did Father Josh Carrier hold at Notre Dame?
q_54,In what year did Albert Zahm begin comparing aeronatical models at Notre Dame?
q_55,Which professor sent the first wireless message in the USA?
q_56,In what year did Jerome Green send his first wireless message?
