qid,question,answer_with_context,model
q_0,To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,Saint Bernadette Soubirous,llama-3.1-8b-instant
q_1,What is in front of the Notre Dame Main Building?,"A copper statue of Christ with arms upraised with the legend ""Venite Ad Me Omnes",llama-3.1-8b-instant
q_10,Where is the headquarters of the Congregation of the Holy Cross?,Rome,llama-3.1-8b-instant
q_100,In what year did the team lead by Knute Rockne win the Rose Bowl?,1925,llama-3.1-8b-instant
q_101,How many years was Knute Rockne head coach at Notre Dame?,13 years,llama-3.1-8b-instant
q_102,How many national titles were won when Knute Rockne coached at Notre Dame?,Three national championships,llama-3.1-8b-instant
q_103,"Catholic people identified with Notre Dame, what religious group did people feel Yale represented?",Protestant establishment,llama-3.1-8b-instant
q_104,Notre Dame students had a showdown in 1924 with which anti-catholic group?,The Ku Klux Klan,llama-3.1-8b-instant
q_105,Which college president of Notre Dame is credited with preventing more confrontations between students and the KKK?,Fr,llama-3.1-8b-instant
q_106,What type of event did the Klan intend to have at Notre Dame in March of 1924?,A week-long Klavern,llama-3.1-8b-instant
q_107,Where did Notre Dame students and the KKK have their encounter?,South Bend,llama-3.1-8b-instant
q_108,Which person became vice-president of Notre Dame in 1933?,UNKNOWN,llama-3.1-8b-instant
q_109,Who was the president of Notre Dame in 1934?,Holy Cross Father John Francis O'Hara,llama-3.1-8b-instant
q_11,What is the primary seminary of the Congregation of the Holy Cross?,Moreau Seminary,llama-3.1-8b-instant
q_110,Irvin Abell was given what award by Notre Dame?,Laetare Medal,llama-3.1-8b-instant
q_111,Which year was the Laetare Medal first given out at Notre Dame?,1883,llama-3.1-8b-instant
q_112,For whos glory did Father O'Hara believed that the Notre Dame football team played?,God and his Blessed Mother,llama-3.1-8b-instant
q_113,Around the time that Rev. Cavanaugh became president of Notre Dame by how much did the undergrad student body of Notre Dame increase?,More than half,gemma2-9b-it
q_114,Which institute involving animal life did Cavanaugh create at Notre Dame?,Lobund Institute for Animal Studies,gemma2-9b-it
q_115,What is O'Shaughnessy Hall of Notre Dame formerly known as?,Hall of Liberal Arts,gemma2-9b-it
q_116,Which president did Notre Dame have in 1947?,John J,gemma2-9b-it
q_117,"Outside of an institute studying animals, what other institute did Cavanugh create at Notre Dame?",UNKNOWN,gemma2-9b-it
q_118,What was the lifespan of Theodore Hesburgh?,1917–2015,gemma2-9b-it
q_119,In the time that Hesburgh was president of Notre Dame by what factor did the operating budget increase?,18,gemma2-9b-it
q_12,What is the oldest structure at Notre Dame?,Old College,gemma2-9b-it
q_120,What was the size of the Notre Dame endowment when Theodore Hesburgh became president?,$9 million,gemma2-9b-it
q_121,During what years was Theodor Hesburgh president of Notre Dame?,1952–87,gemma2-9b-it
q_122,How many faculty members were at Notre Dame when Hesburgh left the role of president?,950,gemma2-9b-it
q_123,What type of educational institute is Hesburgh given credit for creating at Notre Dame?,Coeducational,gemma2-9b-it
q_124,Which role did Charles Sheedy have at Notre Dame?,Dean of Arts and Letters,gemma2-9b-it
q_125,What title did Thomas Blantz have at Notre Dame?,Vice President of Student Affairs,gemma2-9b-it
q_126,In what year did Notre Dame have its earliest undergraduate that was female?,1971,gemma2-9b-it
q_127,With what institute did Notre Dame agree to an exchange program in the 1960s?,Saint Mary's College,gemma2-9b-it
q_128,During what years was Edward Malloy president of Notre Dame?,1987–2005,gemma2-9b-it
q_129,"What was the SAT score, on average, at Notre Dame when Edward Malloy became president?",1240,gemma2-9b-it
q_13,What individuals live at Fatima House at Notre Dame?,Retired priests and brothers,gemma2-9b-it
q_130,When Malloy became president of Notre Dame what was the size of the endowment?,$350 million,gemma2-9b-it
q_131,When Malloy reached the end of his time as president how much annuals funding for research did Notre Dame have?,$70 million,gemma2-9b-it
q_132,The amount of professors at Notre Dame increased by what amount under Malloy?,500,gemma2-9b-it
q_133,When did John Jenkins become the president of Notre Dame?,"July 1, 2005",gemma2-9b-it
q_134,"In terms of the amount of presidents Notre Dame has had, where is John Jenkins on the list?",17th,gemma2-9b-it
q_135,Who was the Notre Dame president that preceded John Jenkins?,Malloy,gemma2-9b-it
q_136,Which arena was constructed under Jenkins at Notre Dame?,Compton Family Ice Arena,gemma2-9b-it
q_137,How much money was spent on enhancing Notre Dame Stadium under John Jenkins?,$400m,gemma2-9b-it
q_138,Which congregation is in charge of the Old College at Notre Dame?,Congregation of Holy Cross,gemma2-9b-it
q_139,What structure is found on the location of the original church of Father Sorin at Notre Dame?,Basilica of the Sacred Heart,gemma2-9b-it
q_14,Which prize did Frederick Buechner create?,Buechner Prize for Preaching,gemma2-9b-it
q_140,In which architectural style is the Basilica of the Sacred Heart at Notre Dame made?,French Revival,gemma2-9b-it
q_141,Which individual painted the inside of the Basilica of the Sacred Heart at Notre Dame?,Luigi Gregori,gemma2-9b-it
q_142,In what year was the Grotto of Our Lady of Lourdes at Notre Dame constructed?,1896,gemma2-9b-it
q_143,Which person oversaw the creation of a science hall at Notre Dame in 1883?,Fr,gemma2-9b-it
q_144,In what year did the student union building at Notre Dame get renamed to LaFortune Center?,1950,gemma2-9b-it
q_145,After which individual was the LaFortune Center Notre Dame named?,Joseph LaFortune,gemma2-9b-it
q_146,How large in square feet is the LaFortune Center at Notre Dame?,"83,000",gemma2-9b-it
q_147,What is the annual budget of Notre Dame's LaFortune Center?,$1,gemma2-9b-it
q_148,How many halls are at Notre Dame that house students?,43,gemma2-9b-it
q_149,Which library was built at Notre Dame in 1963?,Theodore M,gemma2-9b-it
q_15,How many BS level degrees are offered in the College of Engineering at Notre Dame?,8,gemma2-9b-it
q_150,How many books are housed at the Theodore Hesburgh Library?,almost 4 million,gemma2-9b-it
q_151,Construction for which hall started on March 8th 2007 at Notre Dame?,Duncan Hall,gemma2-9b-it
q_152,Which baseball stadium is found at Notre Dame?,Frank Eck Stadium,gemma2-9b-it
q_153,In what year did Notre Dame create the Office of Sustainability?,2008,gemma2-9b-it
q_154,What percentage of the food served at Notre Dame is locally grown?,40%,gemma2-9b-it
q_155,"Notre Dame got a ""B"" for its sustainability practices from which entity?",Sustainable Endowments Institute,gemma2-9b-it
q_156,Gustavo Gutierrez is faculty of which institute?,Kroc Institute for International Peace Studies,gemma2-9b-it
q_157,In what year did Notre Dame first have a facility in England?,1968,gemma2-9b-it
q_158,At which location is the London Center operated by Notre Dame found?,1 Suffolk Street in Trafalgar Square,gemma2-9b-it
q_159,"Notre Dame has a center in Beijing, what is it referred to as?",UNKNOWN,gemma2-9b-it
q_16,In what year was the College of Engineering at Notre Dame formed?,1920,gemma2-9b-it
q_160,In what year did the Suffolk Street location start to house a Notre Dame facility?,1998,gemma2-9b-it
q_161,What was Notre Dame's first college?,UNKNOWN,gemma2-9b-it
q_162,In what year was the The College of Arts and Letters at Notre Dame created?,1842,gemma2-9b-it
q_163,In what year did the College of Arts and Letters at Notre Dame grant its first degree?,1849,gemma2-9b-it
q_164,On which university did Notre Dame base its curriculum on?,Saint Louis University,gemma2-9b-it
q_165,How many BA majors does the College of Arts and Letters at Notre Dame offer?,33,gemma2-9b-it
q_166,Which president at Notre Dame created the College of Science?,Father Patrick Dillon,gemma2-9b-it
q_167,In what year was the Notre Dame College of Science formed?,UNKNOWN,gemma2-9b-it
q_168,How many years long was a scientific course under Patrick Dillon at Notre Dame?,6,gemma2-9b-it
q_169,Which hall at Notre Dame contains the current College of Science?,UNKNOWN,gemma2-9b-it
q_17,Before the creation of the College of Engineering similar studies were carried out at which Notre Dame college?,College of Science,gemma2-9b-it
q_170,How many undergrad students attend the College of Science at Notre Dame today?,UNKNOWN,gemma2-9b-it
q_171,In 1899 Notre Dame formed which college?,School of Architecture,gemma2-9b-it
q_172,In what building is the current School of Architecture housed at Notre Dame?,Bond Hall,gemma2-9b-it
q_173,What length is the course of study at the Notre Dame School of Architecture?,five years,gemma2-9b-it
q_174,In which location do students of the School of Architecture of Notre Dame spend their 3rd year?,Rome,gemma2-9b-it
q_175,Which prestigious prize does the School of Architecture at Notre Dame give out?,Driehaus Architecture Prize,gemma2-9b-it
q_176,In what year did the opening of a theology library at Notre Dame occur?,2015,gemma2-9b-it
q_177,Where is the theology library at Notre Dame?,Stanford Hall,gemma2-9b-it
q_178,How many books are held by the Notre Dame libraries?,Almost 4 million,gemma2-9b-it
q_179,Currently where does Notre Dame's library rank in the nation?,UNKNOWN,gemma2-9b-it
q_18,How many departments are within the Stinson-Remick Hall of Engineering?,UNKNOWN,gemma2-9b-it
q_180,What caused many intellectual Catholics to leave europe in the 1930s?,The rise of Hitler and other dictators,gemma2-9b-it
q_181,From where did Anton-Hermann Chroust come to reach Notre Dame?,UNKNOWN,gemma2-9b-it
q_182,What field of study did Anton-Hermann Chroust specialize in?,UNKNOWN,gemma2-9b-it
q_183,Who did Waldemar Gurian receive his tutelage under while seeking his doctorate?,Max Scheler,gemma2-9b-it
q_184,What was Ivan Meštrović known for being?,A renowned sculptor,gemma2-9b-it
q_185,"The school known as Notre Dame is known by a more lengthy name, what is it?",The University of Notre Dame du Lac,gemma2-9b-it
q_186,What type of institution is the Notre Dame?,University,gemma2-9b-it
q_187,The French words Notre Dame du Lac translate to what in English?,Our Lady of the Lake,gemma2-9b-it
q_188,Who is the patron saint of Notre Dame?,The Virgin Mary,gemma2-9b-it
q_189,How large is Notre Dame in acres?,"1,250",gemma2-9b-it
q_19,The College of Science began to offer civil engineering courses beginning at what time at Notre Dame?,1870s,gemma2-9b-it
q_190,What caused Notre Dame to become notable in the early 20th century?,UNKNOWN,gemma2-9b-it
q_191,Which 20th century Notre Dame football coach is most notable?,Knute Rockne,gemma2-9b-it
q_192,Which athletic association are the student athletes at Notre Dame a part of?,NCAA,gemma2-9b-it
q_193,How many students at Notre Dame received the Heisman Trophy?,7,gemma2-9b-it
q_194,"There were multiple students from Notre Dame who entered the Pro Football Hall of Fame, how many?",UNKNOWN,gemma2-9b-it
q_195,Where among US universities does Notre Dame rank?,UNKNOWN,gemma2-9b-it
q_196,How many individual colleges are part of Notre Dame?,6,gemma2-9b-it
q_197,Which prize does the Architecture School at Notre Dame give out?,Driehaus Architecture Prize,gemma2-9b-it
q_198,How many doctorate and masters programs are available at Notre Dame?,More than 50,gemma2-9b-it
q_199,Which art museum does Notre Dame administer?,Snite Museum of Art,gemma2-9b-it
q_2,The Basilica of the Sacred heart at Notre Dame is beside to which structure?,The Main Building,gemma2-9b-it
q_20,What entity provides help with the management of time for new students at Notre Dame?,Learning Resource Center,gemma2-9b-it
q_200,In what year was Father Edward Sorin given two years to create a college?,1842,gemma2-9b-it
q_201,Which individual offered land to Father Edward Sorin?,"Bishop of Vincennes, Célestine Guynemer de la Hailandière",gemma2-9b-it
q_202,Which church was Father Edward Sorin representing?,Catholic,gemma2-9b-it
q_203,On what date did brothers from Holy Cross arrive at the future location of Notre Dame?,"November 26, 1842",gemma2-9b-it
q_204,Which structure was the first used for the purposes of the college?,Main Building,gemma2-9b-it
q_205,In what year did the initial degrees get handed out at Notre Dame?,1898,gemma2-9b-it
q_206,In what year did the original Sorin built Main Building get replaced?,1865,gemma2-9b-it
q_207,Which individual began a library at Notre Dame?,UNKNOWN,gemma2-9b-it
q_208,"In what year had the library at Notre Dame reach 10,000 books?",UNKNOWN,gemma2-9b-it
q_209,In what year was the library at Notre Dame started?,UNKNOWN,gemma2-9b-it
q_21,How many colleges for undergraduates are at Notre Dame?,4,gemma2-9b-it
q_210,Which television station finds its home at Notre Dame?,NDtv,gemma2-9b-it
q_211,How many programs did NDtv feature in 2002?,1,gemma2-9b-it
q_212,Which radio station provides radio to the students of Notre Dame at 88.9 FM?,WSND-FM,gemma2-9b-it
q_213,Which internet radio station of Notre Dame is served as an internet stream?,WVFI,gemma2-9b-it
q_214,How much is Eddy Street Commons at Notre Dame expected to cost?,$215 million,gemma2-9b-it
q_215,When was ground broke on the Eddy Street Commons Project of Notre Dame?,"June 3, 2008",gemma2-9b-it
q_216,Who is the developer of Eddy Street Commons?,Kite Realty,gemma2-9b-it
q_217,Which entity did Notre Dame hire to build a parking structure outside of Eddy Street Commons?,City of South Bend,gemma2-9b-it
q_218,"There were protested as a part of the construction at Eddy Street Commons, they came due tot he hiring of whom?",non-union workers,gemma2-9b-it
q_219,What does the acronym NCAA stand for?,National Collegiate Athletic Association,gemma2-9b-it
q_22,What was created at Notre Dame in 1962 to assist first year students?,The First Year of Studies program,gemma2-9b-it
q_220,Which league did Notre Dame Fighting Irish teams participate in in 1982?,Horizon League,gemma2-9b-it
q_221,What when conference do the Notre Dame fencing teams take part in?,Midwest Fencing Conference,gemma2-9b-it
q_222,"There is a conference that the male hockey team of Notre Dame competes in, what is it?",Hockey East,gemma2-9b-it
q_223,In what conference did the Fighting Irish take part in in 2012?,Big East Conference,gemma2-9b-it
q_224,To what conference did the Fighting Irish go after the Big East?,ACC,gemma2-9b-it
q_225,How many teams in each season do the Fighting Irish commit to play against ACC opponents?,5,gemma2-9b-it
q_226,"Where did the Fighting Irish hockey team compete prior to a move to Hockey East, in terms of conference?",Central Collegiate Hockey Association,gemma2-9b-it
q_227,What colors are the official ones used by Notre Dame in sport competition?,Navy Blue and Gold Rush,gemma2-9b-it
q_228,What type of mascot do the Notre Dame sport teams have?,Leprechaun,gemma2-9b-it
q_229,Who currently provides uniforms to Notre Dame sport teams?,Under Armour,gemma2-9b-it
q_23,"Which organization declared the First Year of Studies program at Notre Dame ""outstanding?""",U,gemma2-9b-it
