qid,question,ground_truth
q_0,To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,"[""Saint Bernadette Soubirous""]"
q_1,What is in front of the Notre Dame Main Building?,"[""a copper statue of Christ""]"
q_2,The Basilica of the Sacred heart at Notre Dame is beside to which structure?,"[""the Main Building""]"
q_3,What is the Grotto at Notre Dame?,"[""a Marian place of prayer and reflection""]"
q_4,What sits on top of the Main Building at Notre Dame?,"[""a golden statue of the Virgin Mary""]"
q_5,When did the Scholastic Magazine of Notre dame begin publishing?,"[""September 1876""]"
q_6,How often is Notre Dame's the Juggler published?,"[""twice""]"
q_7,What is the daily student paper at Notre Dame called?,"[""The Observer""]"
q_8,How many student news papers are found at Notre Dame?,"[""three""]"
q_9,In what year did the student paper Common Sense begin publication at Notre Dame?,"[""1987""]"
q_10,Where is the headquarters of the Congregation of the Holy Cross?,"[""Rome""]"
q_11,What is the primary seminary of the Congregation of the Holy Cross?,"[""Moreau Seminary""]"
q_12,What is the oldest structure at Notre Dame?,"[""Old College""]"
q_13,What individuals live at Fatima House at Notre Dame?,"[""Retired priests and brothers""]"
q_14,Which prize did Frederick Buechner create?,"[""Buechner Prize for Preaching""]"
q_15,How many BS level degrees are offered in the College of Engineering at Notre Dame?,"[""eight""]"
q_16,In what year was the College of Engineering at Notre Dame formed?,"[""1920""]"
q_17,Before the creation of the College of Engineering similar studies were carried out at which Notre Dame college?,"[""the College of Science""]"
q_18,How many departments are within the Stinson-Remick Hall of Engineering?,"[""five""]"
q_19,The College of Science began to offer civil engineering courses beginning at what time at Notre Dame?,"[""the 1870s""]"
q_20,What entity provides help with the management of time for new students at Notre Dame?,"[""Learning Resource Center""]"
q_21,How many colleges for undergraduates are at Notre Dame?,"[""five""]"
q_22,What was created at Notre Dame in 1962 to assist first year students?,"[""The First Year of Studies program""]"
q_23,"Which organization declared the First Year of Studies program at Notre Dame ""outstanding?""","[""U.S. News & World Report""]"
q_24,The granting of Doctorate degrees first occurred in what year at Notre Dame?,"[""1924""]"
q_25,What type of degree is an M.Div.?,"[""Master of Divinity""]"
q_26,Which program at Notre Dame offers a Master of Education degree?,"[""Alliance for Catholic Education""]"
q_27,In what year was a Master of Arts course first offered at Notre Dame?,"[""1854""]"
q_28,Which department at Notre Dame is the only one to not offer a PhD program?,"[""Department of Pre-Professional Studies""]"
q_29,What institute at Notre Dame studies the reasons for violent conflict?,"[""Joan B. Kroc Institute for International Peace Studies""]"
q_30,What is the title of Notre Dame's Theodore Hesburgh?,"[""President Emeritus of the University of Notre Dame""]"
q_31,In what year was the Joan B. Kroc Institute for International Peace Studies founded?,"[""1986""]"
q_32,To whom was John B. Kroc married?,"[""Ray Kroc""]"
q_33,What company did Ray Kroc own?,"[""McDonald's""]"
q_34,How many stories tall is the main library at Notre Dame?,"[""14""]"
q_35,What is the name of the main library at Notre Dame?,"[""Theodore M. Hesburgh Library""]"
q_36,In what year was the Theodore M. Hesburgh Library at Notre Dame finished?,"[""1963""]"
q_37,Which artist created the mural on the Theodore M. Hesburgh Library?,"[""Millard Sheets""]"
q_38,What is a common name to reference the mural created by Millard Sheets at Notre Dame?,"[""Touchdown Jesus""]"
q_39,How many incoming students did Notre Dame admit in fall 2015?,"[""3,577""]"
q_40,What percentage of students were admitted to Notre Dame in fall 2015?,"[""19.7%""]"
q_41,Where does Notre Dame rank in terms of academic profile among research universities in the US?,"[""the top 10 to 15 in the nation""]"
q_42,What percentage of students at Notre Dame participated in the Early Action program?,"[""39.1%""]"
q_43,How many miles does the average student at Notre Dame travel to study there?,"[""more than 750 miles""]"
q_44,Where did U.S. News & World Report rank Notre Dame in its 2015-2016 university rankings?,"[""18th overall""]"
q_45,Forbes.com placed Notre Dame at what position compared to other US research universities?,"[""8th""]"
q_46,The undergrad school at the Mendoza College of Business was ranked where according to BusinessWeek?,"[""1st overall""]"
q_47,In 2014 what entity named Notre Dame 10th best of all American universities?,"[""USA Today""]"
q_48,What percentage of Notre Dame students decide to study abroad?,"[""57.6%""]"
q_49,What person was the Director of the Science Museum at Notre Dame in the late 19th century?,"[""Father Joseph Carrier, C.S.C.""]"
q_50,What was the lifespan of John Augustine Zahm?,"[""1851–1921""]"
q_51,What program did John Augustine Zahm come to co-direct at Nore Dame?,"[""the Science Department""]"
q_52,What book did John Zahm write in 1896?,"[""Evolution and Dogma""]"
q_53,What professorship did Father Josh Carrier hold at Notre Dame?,"[""Professor of Chemistry and Physics""]"
q_54,In what year did Albert Zahm begin comparing aeronatical models at Notre Dame?,"[""1882""]"
q_55,Which professor sent the first wireless message in the USA?,"[""Professor Jerome Green""]"
q_56,In what year did Jerome Green send his first wireless message?,"[""Around 1899""]"
q_57,Which individual worked on projects at Notre Dame that eventually created neoprene?,"[""Father Julius Nieuwland""]"
q_58,What did the brother of John Zahm construct at Notre Dame?,"[""an early wind tunnel""]"
q_59,Work on a germ-free-life ended up in the creation of which Notre Dame institute?,"[""The Lobund Institute""]"
q_60,Around what time did Lobund of Notre Dame become independent?,"[""the 1940s""]"
