qid,question,ground_truth,source_doc_id
q_0,To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,"[""Saint Bernadette Soubirous""]",doc_0
q_1,What is in front of the Notre Dame Main Building?,"[""a copper statue of Christ""]",doc_0
q_2,The Basilica of the Sacred heart at Notre Dame is beside to which structure?,"[""the Main Building""]",doc_0
q_3,What is the Grotto at Notre Dame?,"[""a Marian place of prayer and reflection""]",doc_0
q_4,What sits on top of the Main Building at Notre Dame?,"[""a golden statue of the Virgin Mary""]",doc_0
q_5,When did the Scholastic Magazine of Notre dame begin publishing?,"[""September 1876""]",doc_1
q_6,How often is Notre Dame's the Juggler published?,"[""twice""]",doc_1
q_7,What is the daily student paper at Notre Dame called?,"[""The Observer""]",doc_1
q_8,How many student news papers are found at Notre Dame?,"[""three""]",doc_1
q_9,In what year did the student paper Common Sense begin publication at Notre Dame?,"[""1987""]",doc_1
q_10,Where is the headquarters of the Congregation of the Holy Cross?,"[""Rome""]",doc_2
q_11,What is the primary seminary of the Congregation of the Holy Cross?,"[""Moreau Seminary""]",doc_2
q_12,What is the oldest structure at Notre Dame?,"[""Old College""]",doc_2
q_13,What individuals live at Fatima House at Notre Dame?,"[""Retired priests and brothers""]",doc_2
q_14,Which prize did Frederick Buechner create?,"[""Buechner Prize for Preaching""]",doc_2
q_15,How many BS level degrees are offered in the College of Engineering at Notre Dame?,"[""eight""]",doc_3
q_16,In what year was the College of Engineering at Notre Dame formed?,"[""1920""]",doc_3
q_17,Before the creation of the College of Engineering similar studies were carried out at which Notre Dame college?,"[""the College of Science""]",doc_3
q_18,How many departments are within the Stinson-Remick Hall of Engineering?,"[""five""]",doc_3
q_19,The College of Science began to offer civil engineering courses beginning at what time at Notre Dame?,"[""the 1870s""]",doc_3
q_20,What entity provides help with the management of time for new students at Notre Dame?,"[""Learning Resource Center""]",doc_4
q_21,How many colleges for undergraduates are at Notre Dame?,"[""five""]",doc_4
q_22,What was created at Notre Dame in 1962 to assist first year students?,"[""The First Year of Studies program""]",doc_4
q_23,"Which organization declared the First Year of Studies program at Notre Dame ""outstanding?""","[""U.S. News & World Report""]",doc_4
q_24,The granting of Doctorate degrees first occurred in what year at Notre Dame?,"[""1924""]",doc_5
q_25,What type of degree is an M.Div.?,"[""Master of Divinity""]",doc_5
q_26,Which program at Notre Dame offers a Master of Education degree?,"[""Alliance for Catholic Education""]",doc_5
q_27,In what year was a Master of Arts course first offered at Notre Dame?,"[""1854""]",doc_5
q_28,Which department at Notre Dame is the only one to not offer a PhD program?,"[""Department of Pre-Professional Studies""]",doc_5
q_29,What institute at Notre Dame studies the reasons for violent conflict?,"[""Joan B. Kroc Institute for International Peace Studies""]",doc_6
q_30,What is the title of Notre Dame's Theodore Hesburgh?,"[""President Emeritus of the University of Notre Dame""]",doc_6
q_31,In what year was the Joan B. Kroc Institute for International Peace Studies founded?,"[""1986""]",doc_6
q_32,To whom was John B. Kroc married?,"[""Ray Kroc""]",doc_6
q_33,What company did Ray Kroc own?,"[""McDonald's""]",doc_6
q_34,How many stories tall is the main library at Notre Dame?,"[""14""]",doc_7
q_35,What is the name of the main library at Notre Dame?,"[""Theodore M. Hesburgh Library""]",doc_7
